"","Date","Rides","WND","DEW","VIS","TMP","Members","Holiday","Day","Weekend"
"1",2011-01-01 00:00:00,16,"170,1,N,0021,1","-0011,1","016000,1,N,1","+0056,1",13,0,"Sat",1
"2",2011-01-01 01:00:00,38,"999,9,C,0000,5","-0006,5","016093,5,N,5","+0050,5",30,0,"Sat",1
"3",2011-01-01 02:00:00,31,"180,5,N,0015,5","-0006,5","016093,5,N,5","+0039,5",26,0,"Sat",1
"4",2011-01-01 03:00:00,12,"999,9,C,0000,5","-0011,5","016093,5,N,5","+0022,5",9,0,"Sat",1
"5",2011-01-01 04:00:00,1,"999,9,C,0000,5","+0000,5","016093,5,N,5","+0033,5",1,0,"Sat",1
"6",2011-01-01 05:00:00,1,"999,9,C,0000,5","-0006,5","014484,5,N,5","+0017,5",1,0,"Sat",1
"7",2011-01-01 06:00:00,2,"999,9,C,0000,5","-0006,5","012875,5,N,5","+0022,5",0,0,"Sat",1
"8",2011-01-01 07:00:00,3,"999,9,C,0000,5","-0006,5","012875,5,N,5","+0028,5",2,0,"Sat",1
"9",2011-01-01 08:00:00,8,"999,9,C,0000,5","-0011,5","012875,5,N,5","+0022,5",7,0,"Sat",1
"10",2011-01-01 09:00:00,14,"020,5,N,0015,5","-0011,5","012875,5,N,5","+0028,5",6,0,"Sat",1
"11",2011-01-01 10:00:00,34,"999,9,C,0000,5","-0011,5","012875,5,N,5","+0022,5",22,0,"Sat",1
"12",2011-01-01 11:00:00,56,"999,9,C,0000,5","-0011,5","011265,5,N,5","+0011,5",30,0,"Sat",1
"13",2011-01-01 12:00:00,83,"999,9,C,0000,5","-0006,5","012875,5,N,5","+0028,5",54,0,"Sat",1
"14",2011-01-01 13:00:00,94,"999,9,C,0000,5","+0033,5","012875,5,N,5","+0067,5",47,0,"Sat",1
"15",2011-01-01 14:00:00,103,"190,5,N,0046,5","+0056,5","016093,5,N,5","+0100,5",69,0,"Sat",1
"16",2011-01-01 15:00:00,107,"180,5,N,0051,5","+0056,5","016093,5,N,5","+0094,5",67,0,"Sat",1
"17",2011-01-01 16:00:00,91,"180,5,N,0051,5","+0080,5","016093,5,N,5","+0120,5",50,0,"Sat",1
"18",2011-01-01 17:00:00,66,"180,5,N,0057,5","+0094,5","016093,5,N,5","+0133,5",51,0,"Sat",1
"19",2011-01-01 18:00:00,31,"190,5,N,0051,5","+0100,5","016093,5,N,5","+0140,5",22,0,"Sat",1
"20",2011-01-01 19:00:00,33,"180,5,N,0057,5","+0089,5","016093,5,N,5","+0128,5",27,0,"Sat",1
"21",2011-01-01 20:00:00,34,"180,5,N,0057,5","+0089,5","016093,5,N,5","+0117,5",23,0,"Sat",1
"22",2011-01-01 21:00:00,34,"180,5,N,0057,5","+0090,5","016093,5,N,5","+0120,5",31,0,"Sat",1
"23",2011-01-01 22:00:00,28,"180,5,N,0051,5","+0094,5","014484,5,N,5","+0111,5",17,0,"Sat",1
"24",2011-01-01 23:00:00,39,"190,5,N,0046,5","+0100,5","016093,5,N,5","+0120,5",24,0,"Sat",1
"25",2011-01-02 00:00:00,17,"180,5,N,0057,5","+0090,5","012875,5,N,5","+0100,5",13,0,"Sun",1
"26",2011-01-02 01:00:00,16,"180,5,N,0046,5","+0090,5","012875,5,N,5","+0110,5",15,0,"Sun",1
"27",2011-01-02 02:00:00,9,"180,5,N,0051,5","+0090,5","011265,5,N,5","+0110,5",8,0,"Sun",1
"28",2011-01-02 03:00:00,6,"200,5,N,0036,5","+0111,5","011265,5,N,5","+0122,5",4,0,"Sun",1
"29",2011-01-02 04:00:00,3,"200,5,N,0057,5","+0120,5","016093,5,N,5","+0140,5",1,0,"Sun",1
"30",2011-01-02 05:00:00,0,"190,5,N,0046,5","+0117,5","012875,5,N,5","+0133,5",0,0,"Sun",1
"31",2011-01-02 06:00:00,2,"190,5,N,0046,5","+0120,5","012875,5,N,5","+0130,5",2,0,"Sun",1
"32",2011-01-02 07:00:00,1,"190,5,N,0041,5","+0128,5","012875,5,N,5","+0139,5",1,0,"Sun",1
