ID,TERMINAL_NUMBER,ADDRESS,Zipcode,Neighborhood,,,,,
1,31000,Eads St & 15th St S,,,Crystal City,,,,
2,31001,18th & Eads St.,,,Aurora Highlands,,,,
3,31002,20th & Crystal Dr,,,Aurora Highlands,,,,
4,31003,15th & Crystal Dr,,,Aurora Highlands,,,,
5,31004,Aurora Hills Community Ctr/18th & Hayes St,,,Crystal City,,,,
6,31005,Pentagon City Metro / 12th & S Hayes St,,,Crystal City,,,,
7,31006,S Joyce & Army Navy Dr,,,Crystal City,,,,
8,31007,Crystal City Metro / 18th & Bell St,,,Crystal City,,,,
9,31008,12th & Army Navy Dr,,,Crystal City,,,,
10,31009,27th & Crystal Dr,,,Crystal City,,,,
11,31010,S Glebe & Potomac Ave,,,"Dupont Circle, Connecticut Avenue/K Street",,,,
12,31011,23rd & Crystal Dr,,,"Howard University, Le Droit Park, Cardozo/Shaw",,,,
13,31012,26th & S Clark St,,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",,,,
48,31013,Eads & 22nd St S,,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",,,,
127,31014,Lynn & 19th St North,,,"Kalorama Heights, Adams Morgan, Lanier Heights",,,,
128,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",,,,
129,31016,Clarendon Blvd & Pierce St,,,"Kalorama Heights, Adams Morgan, Lanier Heights",,,,
130,31017,Wilson Blvd & N Uhle St,,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",,,,
131,31018,N Rhodes & 16th St N,,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",,,,
134,31019,Wilson Blvd & N Edgewood St,,,"Shaw, Logan Circle",,,,
138,31020,Wilson Blvd & Franklin Rd,,,"Shaw, Logan Circle",,,,
139,31021,Clarendon Blvd & N Fillmore St,,,"Shaw, Logan Circle",,,,
140,31022,Clarendon Metro / Wilson Blvd & N Highland St,,,"West End, Foggy Bottom, GWU",,,,
160,31023,Fairfax Dr & Wilson Blvd,,,"West End, Foggy Bottom, GWU",,,,
165,31024,Virginia Square Metro / N Monroe St & 9th St N,,,"Brightwood Park, Crestwood, Petworth",,,,
166,31025,Central Library / N Quincy St & 10th St N,,,"Brightwood Park, Crestwood, Petworth",,,,
167,31026,Washington Blvd & 10th St N,,,"North Michigan Park, Michigan Park, University Heights",,,,
161,31027,Key Blvd & N Quinn St,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
172,31028,N Veitch & Key Blvd,,,"Capitol Hill, Lincoln Park",,,,
158,31029,N Veitch  & 20th St N,,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",,,,
173,31030,Lee Hwy & N Adams St,,,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",,,,
174,31031,15th & N Scott St,,,"Cathedral Heights, McLean Gardens, Glover Park",,,,
175,31032,Washington Blvd & 7th St N,,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",,,,
157,31033,Barcroft Community Center,,,"Mayfair, Hillbrook, Mahaning Heights",,,,
177,31034,N Randolph St & Fairfax Dr,,,"Mayfair, Hillbrook, Mahaning Heights",,,,
